Id,AccountStatus__c,BarrDirectAppUser__c,BillToReference__c,BillingCity,BillingCountry,BillingCountryCode,BillingGeocodeAccuracy,BillingLatitude,BillingLongitude,BillingPostalCode,BillingSameAsShipping__c,BillingState,BillingStateCode,BillingStreet,ClosedDate__c,ClosedReason__c,CreditStatus__c,CustomerShopNumber__c,CustomerTier__c,DeliveryPointCriteriaMet__c,Depot__c,Email__c,ExternalDBID__c,FieldSalesRegion__c,FieldSalesTerritory__c,FixedDeliveryInstructions__c,FormalCreditCheckAgreed__c,Frequency__c,InvoiceType__c,LastOrderDate__c,MinOrderQuantity__c,Name,PORequired__c,ParentId,Phone,PreferredCallTimeTelesales__c,PreferredVisitTime__c,PreviousAccount__c,PricedUnpricedInvoice__c,PrimaryCallDay__c,PrimaryDeliveryDay__c,PrimaryGridNumber__c,PrimaryPaymentMethod__c,PrimaryStartDate__c,RecordTypeId,SeasonalAccount__c,SeasonalEndDate__c,SeasonalStartDate__c,SecondaryCallDay__c,SecondaryDeliveryDay__c,SecondaryGridNumber__c,SecondaryStartDate__c,SeparateLoad__c,ShippingCity,ShippingCountry,ShippingCountryCode,ShippingGeocodeAccuracy,ShippingLatitude,ShippingLongitude,ShippingPostalCode,ShippingState,ShippingStateCode,ShippingStreet,StoreName__c,SupplierRef__c,Symbol__c,Type,aforza__Active__c,aforza__Credit_Amount__c,aforza__Credit_Length__c,aforza__Default_Price_Book__c,aforza__Last_Visit__c,aforza__Operating_Hours__c,aforza__Primary_Contact__c,Parent.Name,PreviousAccount__r.Name,aforza__Default_Price_Book__r.Name,aforza__Operating_Hours__r.Name,aforza__Primary_Contact__r.Name,RecordType.$$DeveloperName$NamespacePrefix$SobjectType
0012z00000CGKBRAA5,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,BOOKER PREMIER MOSSLEY CON STORE,false,0012z00000ByXZ6AAN,,,,,,3,5,5M204WE2,Credit,2022-10-26,0128d000001HhauAAC,false,,,,,,,false,ASHTON-UNDER-LYNE,,,,53.516992,-2.029807,OL5 9EH,,,38-40 MANSFIELD ROAD,BOOKER PREMIER MOSSLEY CON STORE,,,,,1000,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
0012z00000CGKBSAA5,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,LOCAL SHOP,false,0012z00000ByXZ6AAN,,,,,,3,5,5M104WE1,Credit,2022-10-18,0128d000001HhauAAC,false,,,,,,,false,MANCHESTER,,,,53.461511,-2.112395,M34 3JA,,,48 FREDERICK STREET,LOCAL SHOP,,,,,1000,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
0012z00000CGKBTAA5,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,FRESHFARE,false,0012z00000ByXZ6AAN,,,,,,5,2,2M107FR1,Credit,2022-10-28,0128d000001HhauAAC,false,,,,,,,false,BRADFORD,,,,53.781146,-1.765058,BD5 0LG,,,387 LITTLE HORTON LANE,FRESHFARE,,,,,1000,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
0012z00000CGKBUAA5,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,RAVENSTHORPE POST OFFICE,false,0012z00000ByXZ6AAN,,,,,,5,2,2M203FR2,Credit,2022-10-21,0128d000001HhauAAC,false,,,,,,,false,DEWSBURY,,,,53.678393,-1.666303,WF13 3HP,,,656 HUDDERSFIELD ROAD,RAVENSTHORPE POST OFFICE,,,,,1000,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
0012z00000CGKBVAA5,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,STANCLIFFE FRESH GROCERS UK LTD,false,0012z00000ByXZ6AAN,,,,,,5,2,2M205FR2,Credit,2022-10-21,0128d000001HhauAAC,false,,,,,,,false,HECKMONDWIKE,,,,53.708611,-1.659868,WF16 0DR,,,133 HALIFAX ROAD,STANCLIFFE FRESH GROCERS UK LTD,,,,,1000,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
0012z00000CGKBWAA5,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,HIGHER CROFT POST OFFICE,false,0012z00000ByXZ6AAN,,,,,,1,3,3M104MO1,Credit,2022-10-17,0128d000001HhauAAC,false,,,,,,,false,BLACKBURN,,,,53.731521,-2.474601,BB2 3EP,,,120 MANXMAN ROAD,HIGHER CROFT POST OFFICE,,,,,1000,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
0012z00000CGKBXAA5,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,ASIA SUPERSTORE LIMITED,false,0012z00000ByXZ6AAN,,,,,,5,2,2M208FR2,Credit,2022-10-21,0128d000001HhauAAC,false,,,,,,,false,BRADFORD,,,,53.804026,-1.783683,BD8 9JT,,,121 FAIRBANK ROAD,ASIA SUPERSTORE LIMITED,,,,,1500,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
0012z00000CGKBYAA5,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,KPS COUNTY NEWS,false,0012z00000ByXZ6AAN,,,,,,2,4,4M102TU1,Credit,2022-10-18,0128d000001HhauAAC,false,,,,,,,false,LIVERPOOL,,,,53.440798,-2.971057,L4 3QD,,,83 COUNTY ROAD,KPS COUNTY NEWS,,,,,1000,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
0012z00000CGKBZAA5,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,WEST TOWN NEWSAGENTS,false,0012z00000ByXZ6AAN,,,,,,5,2,2M203FR2,Credit,2022-10-21,0128d000001HhauAAC,false,,,,,,,false,DEWSBURY,,,,53.689708,-1.640684,WF13 2QD,,,18 ST. MATTHEWS ROAD,WEST TOWN NEWSAGENTS,,,,,1000,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
0012z00000CGKBaAAP,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,GO LOCAL - THAMES SIDE GENERAL STORE,false,0012z00000ByXZ6AAN,,,,,,3,5,5M104WE1,Credit,2022-10-18,0128d000001HhauAAC,false,,,,,,,false,ASHTON-UNDER-LYNE,,,,53.492918,-2.079304,OL6 9QX,,,44 CURZON ROAD,GO LOCAL - THAMES SIDE GENERAL STORE,,,,,1000,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
