Id,Name,aforza__Account__c,aforza__Attribute__c,aforza__Product__c,aforza__Value__c,aforza__Account__r.Name,aforza__Attribute__r.aforza__Code__c,aforza__Product__r.StockKeepingUnit
a0A2z000000B0glEAC,AAS-00000948,0012z00000CGK0vAAH,a0C2z000000B59OEAS,,England,GRASMERE NEWS,AA-0010,
a0A2z000000B0gmEAC,AAS-00000949,0012z00000CGK0wAAH,a0C2z000000B59OEAS,,England,RAKES MINIMARKET,AA-0010,
a0A2z000000B0gnEAC,AAS-00000950,0012z00000CGK0xAAH,a0C2z000000B59OEAS,,England,BASEMENT,AA-0010,
a0A2z000000B0goEAC,AAS-00000951,0012z00000CGK0yAAH,a0C2z000000B59OEAS,,England,PREMIER,AA-0010,
a0A2z000000B0gpEAC,AAS-00000952,0012z00000CGK0zAAH,a0C2z000000B59OEAS,,England,POP IN CONVENIENCE STORE,AA-0010,
a0A2z000000B0gqEAC,AAS-00000953,0012z00000CGK10AAH,a0C2z000000B59OEAS,,England,BARKAT FOOD STORE BOLTON LTD,AA-0010,
a0A2z000000B0grEAC,AAS-00000954,0012z00000CGK0JAAX,a0C2z000000B59OEAS,,England,WILLIS ST STORE,AA-0010,
a0A2z000000B0gsEAC,AAS-00000955,0012z00000CGK0KAAX,a0C2z000000B59OEAS,,England,P & S LATE SHOP,AA-0010,
a0A2z000000B0gtEAC,AAS-00000956,0012z00000CGK0LAAX,a0C2z000000B59OEAS,,England,SANPEY LATE SHOP,AA-0010,
a0A2z000000B0guEAC,AAS-00000957,0012z00000CGK0MAAX,a0C2z000000B59OEAS,,England,RS NEWS,AA-0010,
a0A2z000000B0gvEAC,AAS-00000958,0012z00000CGK0NAAX,a0C2z000000B59OEAS,,England,GOOSE GREEN VILLAGE STORE,AA-0010,
a0A2z000000B0gwEAC,AAS-00000959,0012z00000CGK0OAAX,a0C2z000000B59OEAS,,England,FIRST EDITION (NW) LTD,AA-0010,
a0A2z000000B0gxEAC,AAS-00000960,0012z00000CGK0PAAX,a0C2z000000B59OEAS,,England,DAVES OFF LICENCE,AA-0010,
a0A2z000000B0gyEAC,AAS-00000961,0012z00000CGK0QAAX,a0C2z000000B59OEAS,,England,TOP SHOP (NISA),AA-0010,
a0A2z000000B0gzEAC,AAS-00000962,0012z00000CGK0RAAX,a0C2z000000B59OEAS,,England,1ST STOP CONVENIENCE STORE,AA-0010,
a0A2z000000B0h0EAC,AAS-00000963,0012z00000CGK0SAAX,a0C2z000000B59OEAS,,England,K & M LAWLESS,AA-0010,
a0A2z000000B0h2EAC,AAS-00000965,0012z00000CGK0UAAX,a0C2z000000B59OEAS,,England,PREMIER CONVENIENCE STORE,AA-0010,
a0A2z000000B0h3EAC,AAS-00000966,0012z00000CGK0VAAX,a0C2z000000B59OEAS,,England,CHEAPER MARKET,AA-0010,
a0A2z000000B0h4EAC,AAS-00000967,0012z00000CGK0WAAX,a0C2z000000B59OEAS,,England,GREEN LANE CHIPPY,AA-0010,
a0A2z000000B0h5EAC,AAS-00000968,0012z00000CGK0XAAX,a0C2z000000B59OEAS,,England,VEE & L CONVIENCE LTD,AA-0010,
a0A2z000000B0h6EAC,AAS-00000969,0012z00000CGK0YAAX,a0C2z000000B59OEAS,,England,SUPER BOOZE,AA-0010,
a0A2z000000B0h7EAC,AAS-00000970,0012z00000CGK0ZAAX,a0C2z000000B59OEAS,,England,R&D AGIUS,AA-0010,
a0A2z000000B0h8EAC,AAS-00000971,0012z00000CGK0aAAH,a0C2z000000B59OEAS,,England,MALLETT AND WINSTANLEY LIMITED,AA-0010,
a0A2z000000B0h9EAC,AAS-00000972,0012z00000CGK0bAAH,a0C2z000000B59OEAS,,England,DEFIANT RETAIL/ONE STOP,AA-0010,
a0A2z000000B0hAEAS,AAS-00000973,0012z00000CGK0cAAH,a0C2z000000B59OEAS,,England,SELECT & SAVE (S34220),AA-0010,
